timestamp,bid,ask,last,buyVolume,sellVolume,buySellVolumeRatio
1516114868929,1076.58000001,1081,1081,0.07750523000000001,4.1002521000000005,0.018902552357695276
1516114870697,1076.58000001,1081,1081,0.06685591,4.1002521000000005,0.016305316934049005
1516114873040,1076.58000001,1081,1081,0.0344191,4.1002521000000005,0.008394386286638326
1516114875013,1076.58000001,1081,1081,0.0344191,4.1002521000000005,0.008394386286638326
1516114877620,1076.7,1081,1081,0.0344191,4.1002521000000005,0.008394386286638326
1516114879345,1076.7,1081,1081,0.0344191,4.1002521000000005,0.008394386286638326
1516114882569,1076.7,1081,1081,0.0344191,3.5395044400000004,0.009724270892565966
1516114883699,1076.7,1081,1081,0.0344191,3.5395044400000004,0.009724270892565966
1516114884871,1076.12000001,1081,1081,0.0344191,2.9787567800000003,0.011554854102589739
1516114886612,1076.12000001,1081,1081,0.0344191,2.9787567800000003,0.011554854102589739
1516114890695,1081.55,1082.18148,1081,0.49999325,1.36800912,0.36548970521483076
1516114891543,1081.55,1082.18148,1081,0.49999325,1.36800912,0.36548970521483076
1516114894599,1081.55,1082.18148,1081,0.49999325,1.36800912,0.36548970521483076
1516114894779,1081.55,1082.18148,1081,0.49999325,1.36800912,0.36548970521483076
1516114896677,1081.55,1082.18148,1081,0.49999325,1.36800912,0.36548970521483076
1516114898899,1081.55,1082.18148,1081,0.49999325,1.36800912,0.36548970521483076
1516114900654,1081.55,1082.18148,1081,0.49999325,1.36800912,0.36548970521483076
1516114902873,1082.69171839,1085.8,1082.18148,0.49999325,0,
1516114905981,1082.18148001,1085.8,1082.18148,0.49999325,0,
1516114908143,1082.18148001,1086.67,1082.18148,0.49999325,0,
1516114908619,1082.18148001,1086.67,1082.18148,0.49999325,0,
1516114911675,1086.67,1088.74,1082.18148,0.49999325,0,
1516114912621,1086.67,1088.74,1082.18148,0.49999325,0,
1516114914619,1086.67,1090,1082.18148,0.49999325,0,
